Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"OZ","South OZ","M","14","R","171","26","169","1","Bus","90","0.32","24","Tennis","651","498","1000","758","1000","1000",
"USA","CA","M","12","R","155","25","155","2","Car","15","0.208","39","Skateboarding/Rollerblading","156","284","350","","","",
"OZ","Tasmania","M","14","R","167","29","170","1","Bus","10","0.25","38","Cycling","486","492","474","492","409","574",
"USA","NY","M","17","R","184","26","180","2","Bus","18","0.462","45","Football/Soccer","1000","1000","1000","","500","500",
"CA","Ontario","M","14","R","163","25","163","1","Bus","30","0.33","34","Skateboarding/Rollerblading","578","449","160","572","1000","1000",
"OZ","New South Wales","M","9","R","141","22","137","1","Car","1","0.04","39","Cricket","870","870","888","882","","427",
"OZ","Tasmania","M","12","R","157","24","153","3","Walk","11","0.47","35","Swimming","1000","1000","1000","1","486","498",
"NZ","Auckland","F","14","R","162","24","160","1","Car","45","0","0","Basketball","500","","500","","","",
"OZ","Western OZ","M","11","L","141","23","147","1","Walk","10","0.45","52","Football/Soccer","527","858","929","953","","929",
"OZ","South OZ","M","15","R","175","27","177","1","Car","10","0.33","43","Football/Soccer","728","586","462","669","456","580",
"USA","PA","F","17","R","164","23","163","1","Car","20","0.42","46","Dancing","701","636","1000","722","210","224",
"USA","SC","F","15","L","158","21","149","1","Car","15","0.989","65","None","400","200","500","500","1000","",
"USA","CA","M","17","R","178","27","198","3","Walk","3","0.335","31","Football/Soccer","750","500","900","","","",
"OZ","Victoria","F","12","R","167","20","166","1","Rail","15","0.38","50","Other activities/sports","663","592","687","693","651","657",
"OZ","New South Wales","F","15","B","161","38","145","1","Walk","4","0.32","29","Netball","704","710","935","746","1000","1000",
"USA","DE","M","17","R","185","29","185","2","Car","25","0.823","60","Football (American)","900","800","500","600","1000","1000",
"UK","North West","F","14","R","164","25","152","3","Bus","30","0.46","43","Dancing","1000","1000","1000","1000","647","1000",
"CA","Ontario","M","13","R","147","22","144","1","Bus","20","0.313","40","Martial Arts","749","594","636","840","775","690",
"OZ","South OZ","F","14","R","153","21","151","1","Car","3","0.32","27","Other activities/sports","1000","823","1000","876","409","249",
"OZ","Western OZ","F","15","R","178","22","160","1","Bus","20","0.28","39","Dancing","965","438","657","663","1000","1000",
"USA","FL","M","17","R","169","24","185","2","Car","30","0","0","Bowling","4","232","987","432","1000","1000",
"USA","PA","F","17","R","175","21","163","1","Car","25","0.493","35","Hockey (Field)","150","193","219","176","471","535",
"USA","WY","F","12","R","167","24","169","1","Bus","10","0.363","50","Football/Soccer","900","900","900","1000","700","600",
"CA","British Columbia","F","9","B","144","24","151","1","Walk","5","0.39","36","Dancing","957","957","968","947","1000","1000",
"USA","IN","F","16","R","165","24","154","1","Car","5","0.291","29","Golf","0","50","50","500","1000","1000",
"USA","SC","M","17","R","174","24","181","1","Car","7","0.655","40","Athletics","1000","1000","1000","","500","500",
"CA","Alberta","M","14","R","173","27","167","3","Bus","30","0.375","43","Basketball","16","16","5","5","1000","1000",
"OZ","Western OZ","M","13","B","155","25","154","2","Bus","50","0.32","65","Football/Soccer","373","367","350","486","1","1",
"UK","South West","M","13","B","160","24","161","3","Car","8","0.36","63","Football/Soccer","1000","1000","516","500","500","500",
"NZ","Bay of Plenty","F","15","R","169","21","169","2","Bus","15","0.532","0","Other activities/sports","500","","750","","","",
"OZ","Victoria","F","14","R","168","25","167","2","Car","5","0.32","27","Netball","480","232","622","415","1000","1000",
"OZ","Western OZ","M","18","B","165","24","166","1","Walk","20","0.39","38","Football/Soccer","1000","492","1000","1000","1000","1000",
"UK","London","M","14","R","160","25","91","1","Bus","15","0.32","55","Athletics","1000","1000","742","1000","997","1000",
"CA","Ontario","M","13","L","150","25","150","1","Bus","20","0.282","38","Football/Soccer","396","48","214","455","642","658",
"CA","Ontario","M","10","R","144","26","146","2","Cycle","1","0.297","45","Hockey (Ice)","797","775","904","818","150","64",
"UK","North West","M","14","R","174","26","165","1","Bus","25","0.25","57","Football/Soccer","662","391","123","612","761","763",
"CA","Ontario","M","6","R","135","23","135","1","Bus","50","0.319","37","Other activities/sports","1000","1000","1000","1000","1000","1000",
"CA","Ontario","F","15","R","165","24","168","2","Bus","17","0.334","39","Other activities/sports","492","545","545","273","952","1000",
"CA","Ontario","M","12","R","150","25","145","3","Walk","10","0.234","47","Skateboarding/Rollerblading","1000","1000","1000","1000","567","930",
"CA","Alberta","M","12","R","145","23","143","1","Other","40","0.341","73","Other activities/sports","733","75","1000","690","1000","1000",
"USA","CA","F","11","R","182","27","173","1","Rail","23","0.384","47","Table Tennis","600","500","900","900","200","250",
"OZ","New South Wales","M","11","R","145","22","139","1","Car","10","0.39","58","Football/Soccer","563","965","840","574","503","1000",
"USA","NM","F","17","B","157","24","159","1","Cycle","6","0.344","34","Martial Arts","476","535","791","","775","893",
"UK","Home Counties","F","13","R","162","25","170","1","Bus","40","1.14","50","Dancing","500","579","689","702","1000","1000",
"NZ","Wellington","M","12","R","156","24","160","1","Walk","15","0","0","Rugby Union","500","","750","","","",
"OZ","Western OZ","F","11","R","143","20","145","1","Cycle","6","0.64","94","Tennis","190","237","291","344","421","291",
"CA","Quebec","M","17","R","170","28","170","1","Bus","10","0.29","42","Hockey (Ice)","187","107","214","299","16","80",
"USA","SC","M","16","R","178","30","172","2","Car","12","0.348","51","Football (American)","0","0","0","0","1000","1000",
"OZ","Victoria","F","10","R","135","17","126","1","Car","10","0","57","Other activities/sports","687","669","604","716","492","598",
"CA","Ontario","M","18","R","191","30","199","2","Car","10","0.27","37","Football/Soccer","770","904","759","775","1000","1000",
"CA","British Columbia","M","13","R","150","22","147","1","Walk","2","0.441","48","Hockey (Field)","1000","1000","396","299","765","1000",
"USA","SC","M","17","R","168","26","168","1","Car","10","0.33","35","Other","652","513","500","872","700","699",
"NZ","Auckland","M","12","R","148","23","158","2","Walk","5","0.437","0","Football/Soccer","750","","500","","","",
"CA","British Columbia","F","13","R","162","24","151","1","Walk","5","0.331","89","Other activities/sports","1000","1000","1000","1000","342","257",
"OZ","Western OZ","F","15","B","167","24","168","2","Walk","6","0.29","30","Other activities/sports","1000","693","894","959","1000","1000",
"UK","Home Counties","F","12","R","159","25","150","2","Bus","5","0.37","52","Dancing","660","720","626","700","671","638",
"OZ","Victoria","M","16","B","170","24","166","1","Car","15","0.45","27","Football/Soccer","1000","1000","1000","1000","1000","1000",
"UK","Home Counties","M","14","R","182","32","189","1","Walk","22","0.32","37","Gymnastics","217","500","378","278","591","676",
"NZ","Otago","F","12","R","161","22","160","1","Car","5","0.484","0","Swimming","750","","500","","","",
"CA","Alberta","F","13","B","176","26","173","2","Bus","94","0.33","34","Other activities/sports","807","567","701","572","1000","1000",
"OZ","New South Wales","F","15","R","174","24","170","1","Bus","23","0.29","32","Netball","1000","568","817","1000","107","403",
"OZ","Northern Territories","M","15","R","168","24","173","2","Cycle","20","0.37","28","Cricket","267","220","172","427","492","444",
"USA","TX","M","10","L","157","23","157","1","Walk","10","0.498","39","Swimming","945","825","575","372","2","777",
"OZ","New South Wales","M","13","R","152","24","143","1","Car","10","0.4","41","Athletics","521","143","509","728","746","1000",
"USA","OH","F","11","R","147","23","147","1","Walk","5","0.593","45","Dancing","0","90","1000","1000","1000","1000",
"NZ","Auckland","M","12","R","161","23","156","1","Car","5","0.407","0","None","1000","","1000","","","",
"NZ","Auckland","M","13","R","167","30","167","2","Walk","15","0","0","Football/Soccer","250","","500","","","",
"USA","DE","F","16","R","170","24","166","2","Car","45","0.414","40","Running/Jogging","440","440","350","","800","800",
"CA","Alberta","F","9","R","149","23","132","2","Car","1","1.546","92","Football/Soccer","1000","620","1000","872","487","636",
"OZ","South OZ","M","14","R","171","28","175","3","Car","5","0.32","49","Football/Soccer","149","167","574","84","793","557",
"OZ","Queensland","F","14","L","155","22","143","1","Car","12","0.32","41","Netball","775","551","1000","377","645","675",
"OZ","New South Wales","F","14","R","150","21","102","1","Car","15","0.29","29","Football/Soccer","669","675","1000","261","781","1000",
"UK","South East","M","13","R","165","24","168","3","Cycle","12","0.29","35","Cycling","644","539","394","500","933","949",
"CA","Ontario","M","12","R","158","26","154","2","Car","10","0.3","51","Football/Soccer","1000","647","1000","1000","1000","1000",
"OZ","Western OZ","F","14","R","164","29","168","2","Rail","20","0.21","30","Football/Soccer","1000","1000","722","852","125","178",
"NZ","Auckland","M","10","R","142","22","138","1","Car","5","0.327","0","Football/Soccer","1000","","750","","","",
"OZ","New South Wales","M","13","R","159","24","166","2","Rail","15","0.53","46","Football/Soccer","970","1000","994","1000","653","689",
"CA","Quebec","M","12","R","147","23","144","1","Walk","5","1.221","35","Skateboarding/Rollerblading","754","460","556","722","128","160",
"USA","NY","M","15","R","167","23","170","1","Bus","10","0.383","80","Basketball","401","519","610","519","269","701",
"OZ","South OZ","M","15","R","167","28","172","1","Bus","45","0.4","35","Golf","716","699","846","634","657","1000",
"OZ","Queensland","M","16","R","183","28","185","1","Walk","20","0.31","36","Martial Arts","1000","1000","1000","1000","539","515",
"NZ","Auckland","M","11","R","145","19","144","2","Walk","15","0.505","0","Table Tennis","1000","","500","","","",
"OZ","Victoria","F","11","R","162","26","163","1","Cycle","5","0.31","49","Netball","1000","1000","1000","78","273","1000",
"NZ","Auckland","M","10","R","157","22","164","1","Car","5","1.718","0","Football/Soccer","1000","","750","","","",
"OZ","Victoria","M","11","R","149","24","141","2","Car","7","0.31","42","Athletics","1000","740","1000","1000","226","172",
"NZ","Canterbury","M","13","R","164","25","168","1","Walk","5","0.33","0","Rugby Union","500","","500","","","",
"NZ","Manawatu-Wanganui","F","12","R","154","24","165","1","Car","5","0.531","0","Netball","1000","","1000","","","",
"CA","Quebec","M","15","R","140","30","155","2","Bus","5","0.472","27","Hockey (Ice)","1000","1000","374","1000","529","524",
"UK","West Midlands","F","14","R","160","30","130","1","Bus","15","0.31","38","Basketball","689","535","571","555","989","1000",
"UK","South West","M","13","R","160","23","160","2","Car","30","0.29","39","Bowling","1000","1000","0","323","1000","1000",
"UK","East Midlands","M","12","R","159","26","163","2","Bus","25","0.32","30","Tennis","0","0","0","0","0","0",
"UK","North East","F","14","R","154","24","157","1","Bus","30","0.51","36","Football/Soccer","526","204","273","161","1000","1000",
"UK","West Midlands","M","12","R","136","24","176","1","Car","20","0.45","33","Football/Soccer","743","336","313","217","576","1000",
"OZ","New South Wales","M","16","R","176","26","175","1","Walk","20","0.26","65","Football/Soccer","31","60","96","66","72","60",
"UK","North West","F","12","R","165","25","158","2","Walk","25","0.34","42","Skateboarding/Rollerblading","927","1000","388","442","3","149",
"NZ","Auckland","F","14","R","154","23","154","1","Car","5","0.344","0","Dancing","750","","750","","","",
"CA","Alberta","F","14","B","165","23","155","2","Cycle","15","0.359","33","Basketball","1000","1000","1000","134","1000","1000",
"CA","Ontario","M","13","R","150","24","151","1","Walk","3","0.297","43","Baseball/Softball","428","433","444","487","321","326",
"NZ","Wellington","F","12","R","163","24","149","2","Walk","25","0","0","Basketball","1000","","1000","","","",
"CA","Ontario","F","13","R","169","27","156","2","Walk","15","0.611","31","Other activities/sports","909","1000","1000","1000","508","513",
"UK","North West","F","14","R","168","21","168","1","Walk","10","0.82","40","Other activities/sports","304","436","541","664","685","898",
"NZ","Auckland","F","13","R","160","20","160","1","Bus","45","0.344","0","Swimming","750","","500","","","",
"OZ","Queensland","M","15","R","188","28","90","2","Bus","85","0.31","41","Skateboarding/Rollerblading","433","167","490","332","728","769",
"UK","East","F","15","R","164","21","164","3","Walk","10","0.37","38","Hockey (Field)","92","99","104","137","716","1000",
"OZ","New South Wales","M","12","R","169","26","166","1","Bus","10","0.32","43","Rugby Union","456","385","574","332","149","196",
"UK","East","M","14","R","169","30","172","1","Walk","10","0.28","39","Martial Arts","823","823","734","747","293","286",
"OZ","New South Wales","F","13","R","145","23","142","1","Car","2","0.48","36","Cycling","474","396","575","462","432","623",
"OZ","New South Wales","M","10","R","145","20","149","1","Car","4","0.7","46","Golf","243","498","1000","509","1000","1",
"OZ","New South Wales","F","13","L","161","23","157","2","Car","10","0.37","40","Skateboarding/Rollerblading","1000","1000","468","509","1000","1000",
"OZ","Western OZ","F","11","R","159","22","147","1","Car","10","0.46","31","Basketball","54","521","54","261","1000","1000",
"OZ","New South Wales","F","10","R","140","21","141","1","Car","10","0.76","55","Hockey (Ice)","639","716","864","601","279","",
"CA","Ontario","M","13","L","163","25","160","2","Bus","50","0.156","35","Hockey (Ice)","27","27","5","21","406","422",
"CA","Ontario","M","15","R","176","24","164","1","Bus","15","0.581","42","Other activities/sports","241","519","134","176","529","91",
"NZ","Auckland","F","9","R","139","23","141","1","Car","5","1.031","0","Other activities/sports","500","","250","","","",
"USA","NE","F","15","L","227","24","150","1","Car","17","0.692","38","Other","400","600","450","650","800","950",
"OZ","Victoria","F","12","R","163","25","162","1","Walk","10","0.4","38","Dancing","450","639","450","350","557","852",
"CA","Ontario","F","13","R","151","21","148","1","Bus","35","0.904","44","Baseball/Softball","519","813","390","807","1000","1000",
"NZ","Auckland","F","10","L","145","23","145","1","Car","5","0.367","0","Martial Arts","1000","","1000","","","",
"CA","Quebec","M","14","L","171","26","173","2","Bus","20","0.313","40","Basketball","679","684","524","358","679","684",
"UK","North East","M","13","R","190","28","190","3","Walk","25","0.38","37","Rugby Union","0","7","0","0","1000","1000",
"USA","SC","F","16","R","162","22","169","2","Car","25","0.202","31","Dancing","700","700","800","","1000","1000",
"UK","South West","M","11","R","151","25","148","1","Bus","55","0.29","40","Football/Soccer","1000","1000","1000","500","1000","1000",
"CA","Ontario","M","14","R","160","24","168","1","Car","2","0.481","44","Hockey (Ice)","487","305","615","658","497","572",
"OZ","Western OZ","M","12","R","156","24","155","1","Walk","5","0.42","46","Baseball/Softball","704","834","1000","1000","1000","1000",
"CA","Alberta","F","12","R","151","24","149","2","Car","5","0.668","32","Swimming","968","904","1000","1000","337","396",
"USA","SC","F","17","L","169","25","162","1","Bus","15","0.547","38","Baseball/Softball","668","481","684","","380","626",
"OZ","New South Wales","F","15","R","169","27","170","1","Bus","20","0.37","46","Dancing","1000","1000","1000","876","622","929",
"CA","British Columbia","F","14","R","164","25","163","1","Bus","10","0.344","72","Athletics","668","524","230","615","1000","914",
"CA","Ontario","M","14","R","164","25","158","1","Walk","5","0.172","35","Tennis","620","476","513","1000","866","1000",
"OZ","Queensland","F","10","R","150","20","150","2","Car","15","0.43","49","Football/Soccer","610","308","314","521","101","273",
"OZ","Western OZ","F","12","R","174","24","156","3","Car","15","0.31","30","Tennis","1000","509","663","1000","1000","1000",
"USA","IN","F","17","R","164","24","164","2","Car","9","0.366","41","None","1000","1000","1000","1000","1000","1000",
"USA","SC","M","16","R","181","28","175","2","Car","20","0.727","45","Swimming","245","100","200","500","950","925",
"CA","Ontario","M","14","B","188","29","192","2","Bus","12","0.313","40","Basketball","947","845","941","727","733","701",
"OZ","Victoria","M","10","R","141","23","141","1","Car","5","0.45","53","Swimming","834","1000","1000","805","834","840",
"USA","FL","M","16","R","188","28","193","2","Bus","40","0.328","39","Other","733","513","1000","","428","380",
"NZ","Auckland","M","11","B","159","25","130","2","Walk","45","0","0","Rugby Union","1000","","1000","","","",
"USA","IN","F","17","R","171","25","173","2","Car","5","0.363","32","Dancing","800","800","600","800","900","1000",
"OZ","Western OZ","F","9","R","166","27","173","1","Car","5","0.5","39","Other activities/sports","291","462","462","202","864","864",
"NZ","Canterbury","F","11","R","140","20","163","2","Car","5","0.859","0","Gymnastics","750","","750","","","",
"OZ","Victoria","M","8","R","142","20","146","2","Car","20","0.28","80","Athletics","1000","1000","1000","1000","427","752",
"USA","GA","M","11","R","127","23","156","1","Bus","40","0.312","47","Football/Soccer","800","800","800","","342","342",
"CA","Ontario","F","12","R","151","25","144","1","Bus","30","0.412","35","Other activities/sports","738","604","802","813","620","631",
"CA","Quebec","F","12","R","138","22","134","2","Bus","20","0.421","34","Tennis","1000","668","663","497","358","524",
"CA","Ontario","F","16","R","176","25","170","4","Car","5","0.539","152","Football/Soccer","706","690","695","711","733","722",
"USA","CA","F","17","L","160","24","149","2","Car","30","0.928","53","Football/Soccer","98","100","96","100","98","100",
"OZ","South OZ","M","14","R","154","24","152","2","Car","3","0.4","26","Cycling","48","42","628","498","285","279",
"CA","Ontario","F","13","R","115","23","156","2","Walk","10","0.343","36","Tennis","599","604","973","733","1000","1000",
"CA","Ontario","M","13","R","150","23","154","3","Walk","4","0.262","35","Swimming","1000","1000","374","75","1000","1000",
"CA","Ontario","M","13","R","167","26","175","1","Walk","30","0.375","58","Basketball","1000","1000","701","1000","952","893",
"CA","Quebec","F","12","R","156","27","156","2","Car","10","0.266","29","Running/Jogging","813","754","674","914","1000","1000",
"USA","NC","F","17","R","178","24","175","2","Car","5","0.384","40","Walking/Hiking","610","508","674","695","711","813",
"CA","Ontario","M","13","R","142","20","133","1","Walk","5","0.666","49","Hockey (Ice)","1000","1000","1000","1000","1000","1000",
"USA","IN","F","11","R","110","21","139","1","Car","15","0.558","39","Other","500","700","505","300","10","50",
"CA","Ontario","F","13","R","149","23","151","1","Walk","7","0.328","34","Other activities/sports","711","925","390","321","1000","1000",
"OZ","Western OZ","M","12","R","159","29","160","2","Car","10","0.42","41","Football/Soccer","354","180","791","653","270","145",
"UK","East","M","11","R","159","23","154","1","Bus","10","0","52","Rugby Union","1000","710","677","742","0","0",
"OZ","Western OZ","F","14","R","156","24","165","1","Walk","15","0.28","38","Hockey (Field)","403","728","823","663","302","409",
"CA","Ontario","F","17","R","176","25","160","1","Bus","40","0.375","37","Swimming","1000","1000","652","668","1000","1000",
"OZ","Victoria","M","17","R","190","30","197","1","Bus","15","0.25","34","Cricket","1000","1000","1000","533","1000","1000",
"USA","CT","F","17","R","158","21","158","3","Car","20","0.474","34","Football/Soccer","650","650","650","500","700","700",
"OZ","Victoria","F","14","R","150","22","120","1","Car","5","0.37","48","Tennis","1000","1000","1000","1000","415","421",
"OZ","South OZ","F","14","R","169","22","160","1","Car","14","0.32","34","Netball","628","450","834","610","563","568",
"UK","North West","M","14","R","160","23","92","1","Walk","60","0.48","56","Rugby Union","1000","1000","0","0","512","749",
"CA","Quebec","M","11","R","154","26","159","2","Bus","5","0.38","45","Cycling","979","968","893","856","941","984",
"CA","Ontario","M","17","B","175","30","157","3","Walk","15","0.25","26","Football/Soccer","684","198","107","647","1000","1000",
"CA","Ontario","F","17","R","160","20","130","1","Bus","55","0.45","42","Hockey (Ice)","43","59","262","374","1000","1000",
"OZ","Queensland","M","14","R","185","25","188","1","Cycle","14","0.31","64","Rugby Union","1000","1000","917","917","196","1000",
"CA","Ontario","F","17","R","156","22","152","2","Bus","15","0.344","47","Swimming","422","433","481","326","824","882",
"USA","NY","F","13","B","155","24","155","3","Bus","15","0.465","43","Athletics","1000","1000","1000","1000","1000","1000",
"NZ","Waikato","M","14","R","167","26","134","1","Bus","45","0.436","0","Hockey (Field)","750","","750","","","",
"USA","VA","F","17","R","138","25","162","2","Bus","30","0.328","66","Other","289","540","727","947","711","631",
"USA","CA","M","11","R","147","22","147","1","Car","20","0.754","57","Martial Arts","400","500","400","600","800","800",
"NZ","Auckland","F","16","R","180","27","180","1","Car","5","0","0","Dancing","0","","0","","","",
"UK","North West","F","14","R","157","23","164","1","Walk","20","0.31","49","Cycling","500","500","500","500","1000","1000",
"USA","NJ","M","17","R","188","28","191","1","Walk","7","0.39","35","Football (American)","749","722","850","626","0","200",
"CA","Ontario","F","12","R","159","22","152","4","Walk","10","0.375","36","Swimming","428","497","332","364","1000","1000",
"NZ","Auckland","M","12","R","160","24","160","2","Walk","25","0.5","0","Other activities/sports","1000","","1000","","","",
"USA","MI","M","16","R","183","23","185","1","Car","10","0.3","29","Other","500","500","500","500","1000","1000",
"USA","IN","F","15","R","184","28","186","1","Car","12","0.767","37","Other","700","700","500","400","700","900",
"NZ","Auckland","F","15","R","161","25","161","1","Walk","45","0.438","0","Other activities/sports","250","","500","","","",
"USA","ID","F","17","R","163","23","163","1","Car","9","0.253","40","Football (American)","500","600","500","700","800","700",
"CA","Ontario","F","14","R","161","23","160","2","Car","7","0.484","44","Swimming","508","492","503","503","1000","1000",
"NZ","Southland","M","10","B","147","20","120","2","Bus","25","1.793","0","Basketball","0","","250","","","",
"USA","CA","M","16","R","168","27","160","3","Rail","50","0.367","47","Football/Soccer","100","1000","1000","1000","1000","1000",
"NZ","Canterbury","M","8","R","135","21","135","1","Walk","5","0.545","0","Football/Soccer","1000","","1000","","","",
"USA","OK","M","14","R","175","27","169","2","Car","13","0.297","27","Walking/Hiking","439","267","251","706","765","791",
"CA","Ontario","F","12","R","165","26","168","2","Bus","20","0.313","40","Hockey (Ice)","1000","1000","626","786","417","476",
"NZ","Auckland","F","14","R","157","22","158","2","Bus","45","0.344","0","Other activities/sports","1000","","750","","","",
"USA","PA","F","17","R","152","22","149","1","Car","5","0.344","37","Running/Jogging","701","551","551","","332","332",
"CA","Ontario","M","13","R","156","24","154","1","Walk","15","0.361","40","Walking/Hiking","1000","1000","1000","1000","43","27",
"CA","Quebec","F","15","R","157","23","161","2","Bus","30","1.75","44","Swimming","856","1000","701","337","155","572",
"CA","Quebec","F","15","R","162","24","159","1","Bus","15","0.561","56","Walking/Hiking","246","476","888","70","1000","1000",
"OZ","Western OZ","F","15","R","160","23","118","1","Car","10","0.37","39","Other activities/sports","397","385","521","722","1000","1000",
"NZ","Wellington","F","11","R","136","21","133","1","Car","5","0.594","0","Football/Soccer","1000","","750","","","",
"CA","Ontario","M","12","L","147","17","150","2","Car","5","0.594","41","Other activities/sports","594","604","444","636","540","545",
"USA","NC","F","17","R","155","22","154","2","Car","4","0.397","0","Dancing","1000","1000","898","904","888","1000",
"OZ","New South Wales","F","10","R","155","23","150","1","Other","5","0.52","49","Netball","821","856","683","503","103","252",
"USA","WI","F","11","R","149","23","137","2","Walk","15","0.594","34","Basketball","513","840","620","337","64","5",
"NZ","Wellington","M","13","R","162","24","156","1","Bus","45","0.328","0","Football/Soccer","1000","","500","","","",
"OZ","Western OZ","M","12","R","171","28","169","9","Car","17","0.28","48","Rugby League","362","704","539","728","1000","1000",
"OZ","Queensland","M","11","R","150","23","147","1","Car","3","0.36","38","Rugby League","533","302","586","805","628","752",
"OZ","Victoria","F","11","R","155","25","161","1","Car","5","0.46","56","Dancing","1000","1000","1000","1000","474","1000",
"USA","OH","F","17","R","180","24","174","1","Car","8","0.354","36","Basketball","800","1000","500","750","450","",
"NZ","Auckland","F","13","R","145","22","158","2","Walk","15","0.359","0","Other activities/sports","1000","","750","","","",
"CA","Manitoba","M","11","B","180","27","183","9","Walk","2","0.529","70","Gymnastics","16","11","1000","1000","1000","1000",
"NZ","Auckland","M","11","R","160","26","160","2","Walk","15","0.39","0","Rugby Union","1000","","1000","","","",
"OZ","Western OZ","F","11","R","141","21","130","2","Car","1","0.39","74","Tennis","947","970","1000","1000","42","60",
"USA","CO","F","14","B","158","24","173","2","Bus","24","0.297","34","Skateboarding/Rollerblading","1000","1000","1000","","389","653",
"CA","Ontario","M","14","R","181","25","168","1","Walk","5","0.292","68","Hockey (Ice)","679","652","519","877","390","396",
"OZ","Victoria","F","11","R","145","21","150","2","Car","4","0.5","39","Gymnastics","1000","793","1000","480","113","101",
"CA","Ontario","M","16","R","167","24","168","2","Car","30","0.266","47","Baseball/Softball","16","16","37","32","1000","1000",
"CA","Ontario","F","13","R","155","24","154","2","Bus","30","0.297","36","Swimming","722","722","615","396","209","219",
"CA","Saskatchewan","F","13","R","160","22","150","1","Walk","1","0.457","36","Football/Soccer","583","583","583","583","439","513",
"UK","Home Counties","M","12","R","142","24","142","2","Bus","40","0.48","48","Cricket","875","1000","711","987","304","660",
"CA","Ontario","F","13","L","156","25","150","1","Walk","7","0.425","45","Hockey (Ice)","1000","1000","1000","1000","722","722",
"OZ","Victoria","M","12","R","169","24","151","1","Bus","15","0.38","40","Basketball","79","103","420","330","1","",
"OZ","New South Wales","F","17","L","156","23","147","2","Bus","50","0.39","26","Swimming","456","433","344","373","1000","1000",
"OZ","Victoria","F","12","R","150","23","145","3","Rail","45","0.43","51","Dancing","994","527","970","693","273","947",
"CA","Ontario","M","13","L","150","24","153","2","Car","15","0.344","38","Other activities/sports","1000","1000","1000","1000","930","952",
"OZ","Western OZ","M","12","R","145","23","140","2","Car","14","0.45","44","Tennis","1000","1000","1000","1000","226","232",
"USA","AZ","M","11","R","150","25","162","2","Car","10","0.265","67","Swimming","100","299","100","187","0","0",
"CA","Ontario","M","17","R","165","25","165","1","Car","5","0.33","43","Hockey (Ice)","123","123","374","583","727","738",
"USA","WI","M","14","R","164","28","216","1","Bus","30","0.321","52","Other","500","500","800","500","800","900",
"USA","AZ","M","17","B","178","25","172","1","Car","6","0.313","40","Other","823","802","999","","500","787",
"CA","Ontario","F","13","R","160","22","150","1","Bus","20","0.777","108","Cycling","476","481","588","471","1000","1000",
"UK","South West","M","11","R","145","22","137","1","Walk","20","0.28","38","Football/Soccer","0","0","0","0","1000","1000",
"NZ","Bay of Plenty","F","10","R","150","23","145","1","Car","5","0.515","0","Swimming","750","","750","","","",
"UK","Home Counties","M","12","R","152","32","162","1","Car","30","0.5","66","Cycling","258","0","0","0","0","0",
"NZ","Wellington","M","13","R","163","25","163","1","Bus","45","0.375","0","Rugby Union","500","","500","","","",
"UK","North West","M","14","R","152","25","146","1","Walk","15","0.4","59","Football/Soccer","1000","1000","0","0","0","0",
"OZ","South OZ","F","9","R","146","20","140","1","Walk","20","0.6","55","Tennis","1000","1000","1000","568","96","101",
"USA","NY","M","16","R","180","26","185","1","Car","15","0.4","84","Swimming","1000","701","893","","497","586",
"CA","Ontario","M","17","R","190","27","189","1","Car","10","0.344","37","Hockey (Ice)","214","219","219","230","893","909",
"NZ","Wellington","F","11","L","136","16","130","1","Car","5","0.625","0","Football/Soccer","1000","","750","","","",
"CA","Ontario","M","15","R","194","30","194","1","Car","6","0.359","54","Hockey (Ice)","283","283","289","310","695","701",
"NZ","Auckland","M","12","R","156","21","147","1","Bus","45","0.327","0","Other activities/sports","1000","","1000","","","",
"USA","KS","F","17","R","171","25","172","2","Bus","19","0.401","42","Other","1000","1000","1000","1000","12","1000",
"CA","Ontario","M","13","R","176","27","172","1","Bus","22","0.328","58","Hockey (Ice)","743","337","663","722","465","749",
"OZ","New South Wales","F","14","R","108","26","170","1","Bus","120","0.34","58","None","261","291","1000","515","320","888",
"NZ","Auckland","M","13","R","161","25","163","1","Bus","5","0.313","0","Rugby Union","1000","","500","","","",
"OZ","Western OZ","M","10","B","141","23","127","1","Cycle","9","0.37","38","Football/Soccer","1000","752","433","1000","237","237",
"NZ","Auckland","F","15","R","163","25","163","3","Bus","25","0.469","0","Other activities/sports","1000","","1000","","","",
"CA","Alberta","F","11","R","140","22","145","1","Walk","15","0.344","41","Swimming","1000","540","711","642","289","652",
"USA","MD","M","14","L","169","27","174","1","Bus","60","0.305","40","Football (American)","500","500","500","500","","",
"OZ","South OZ","F","15","R","176","25","176","1","Walk","20","0.31","20","Netball","781","699","894","894","1000","1000",
"USA","NC","M","16","L","178","29","180","1","Car","15","0.39","39","Football (American)","750","820","940","800","1000","1000",
"USA","WA","M","17","R","188","25","189","1","Car","3","0.229","57","None","0","0","0","0","0","0",
"CA","Ontario","M","18","R","180","24","179","1","Bus","45","0.472","39","Basketball","545","551","396","631","567","567",
"USA","MO","M","16","B","182","29","182","2","Car","4","0.329","34","Swimming","900","800","750","1000","900","900",
"OZ","New South Wales","M","11","L","150","24","155","1","Walk","5","0.43","75","Cricket","143","297","54","36","","60",
