Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"OZ","Tasmania","F","12","L","158","22","156","1","Car","17","0.81","68","Bowling","1000","1000","1000","1000","1000","722",
"CA","Newfoundland and Labrador","F","9","R","150","25","146","1","Car","3","0.601","33","Football/Soccer","882","963","652","775","241","406",
"UK","Home Counties","F","12","R","146","18","122","2","Bus","30","0.78","62","Netball","383","497","418","500","168","244",
"CA","Ontario","F","14","R","162","25","157","1","Bus","10","0.341","48","Walking/Hiking","856","1000","417","551","1000","1000",
"OZ","Victoria","M","15","R","179","29","178","1","Walk","30","0.23","30","Basketball","947","917","894","894","781","793",
"USA","IN","M","17","R","186","32","191","2","Car","10","0.339","41","Basketball","700","651","439","320","745","785",
"USA","NC","F","17","R","163","23","160","2","Car","5","0.362","42","Football/Soccer","850","900","750","600","950","950",
"NZ","Waikato","F","12","R","172","24","170","1","Walk","5","0","0","Netball","750","","1000","","","",
"USA","DE","M","17","R","170","25","163","1","Car","10","0.265","41","Other","650","600","600","600","700","700",
"OZ","New South Wales","M","12","L","180","28","184","3","Walk","15","0.28","91","Rugby League","1000","834","592","1000","1","1",
"OZ","Western OZ","F","13","R","154","21","154","3","Walk","25","0.39","38","Tennis","456","728","326","728","409","598",
"UK","South","M","11","R","140","21","127","1","Bus","20","0.45","61","Football/Soccer","1000","1000","1000","1000","433","466",
"OZ","Queensland","F","17","R","163","22","165","3","Bus","15","0.29","30","Netball","764","350","846","823","509","379",
"USA","CO","M","17","R","183","29","183","1","Car","10","0.361","45","Football/Soccer","900","300","500","200","100","1000",
"UK","West Midlands","F","13","R","160","25","158","1","Walk","30","0.42","35","Bowling","0","1000","0","500","1000","1000",
"OZ","Victoria","M","14","R","165","26","165","1","Walk","15","0.39","36","Football/Soccer","545","557","557","563","1000","1000",
"OZ","Victoria","M","14","R","161","25","163","1","Car","35","0.67","46","Tennis","397","403","580","456","1000","999",
"OZ","Western OZ","M","12","L","160","21","149","1","Car","20","0.35","37","Football/Soccer","249","54","385","54","255","237",
"OZ","New South Wales","F","10","L","146","24","148","2","Car","5","0.42","47","Dancing","1000","521","503","1000","521","503",
"CA","Quebec","M","15","R","153","25","150","3","Cycle","12","0.32","41","Hockey (Ice)","754","642","289","497","845","850",
"NZ","Auckland","M","17","L","171","28","189","1","Other","25","0.328","0","Rugby Union","1000","","1000","","","",
"CA","Ontario","M","12","R","140","22","138","2","Walk","20","0.922","47","None","139","144","144","144","144","150",
"NZ","Auckland","M","14","R","178","26","186","1","Car","5","0.421","0","Other activities/sports","500","","750","","","",
"CA","New Brunswick","F","11","R","144","20","143","2","Bus","15","0.389","60","Football/Soccer","471","460","353","749","936","936",
"USA","GA","F","17","R","104","21","152","1","Car","15","0.45","0","None","20","10","30","","50","1000",
"OZ","Western OZ","F","13","R","160","22","156","1","Car","3","0.34","35","Netball","793","699","817","758","805","663",
"NZ","Auckland","M","15","L","184","18","179","1","Walk","25","0.38","0","None","1000","","0","","","",
"USA","MA","M","17","R","171","34","226","2","Walk","5","0.122","50","None","652","631","701","503","1000","1000",
"UK","South Wales","F","12","L","170","24","140","3","Walk","25","0.34","45","Running/Jogging","500","500","500","500","1000","1000",
"UK","East Midlands","M","14","R","187","27","182","1","Walk","30","0.46","42","Basketball","541","709","500","857","714","785",
"CA","Ontario","F","14","R","155","24","155","2","Walk","5","0.23","74","Tennis","1000","1000","1000","1000","198","401",
"OZ","Queensland","F","12","R","147","24","145","1","Car","30","0.46","31","Other activities/sports","1","1","1","1","1000","1000",
"USA","TX","F","17","R","163","19","159","1","Car","5","0.453","38","Other","3","3","3","3","10","10",
"CA","Ontario","F","13","R","158","25","153","2","Car","15","0.548","40","Basketball","781","636","535","551","551","497",
"CA","Nova Scotia","F","17","R","164","23","162","1","Bus","10","0.394","31","Cycling","989","995","1000","1000","503","1000",
"OZ","South OZ","F","14","R","175","25","170","1","Bus","20","0.57","37","Football/Soccer","438","456","350","279","","",
"OZ","Western OZ","F","15","R","163","23","165","2","Car","10","0.4","35","Dancing","929","1000","1000","1000","508","509",
"UK","South East","M","13","R","163","26","149","3","Car","5","1.23","39","Football/Soccer","1000","1000","1000","1000","1000","1000",
"UK","South East","M","15","R","190","30","185","1","Walk","10","0.34","32","Rowing","738","738","373","583","687","685",
"UK","North East","M","14","L","153","26","142","1","Bus","10","0.39","36","Golf","998","1000","996","1000","0","0",
"CA","British Columbia","M","12","R","130","26","125","2","Walk","10","0.301","131","Hockey (Field)","936","1000","963","829","492","390",
"CA","Ontario","F","17","R","183","25","173","2","Bus","10","0.62","42","Walking/Hiking","123","150","481","551","1000","1000",
"CA","Ontario","F","12","R","140","21","137","1","Bus","22","0.359","52","Cycling","856","813","684","524","107","225",
"CA","Newfoundland and Labrador","F","13","R","162","22","157","2","Car","5","0.656","33","Football/Soccer","257","225","348","37","1000","1000",
"OZ","Victoria","F","11","R","160","23","160","2","Car","18","0.28","35","Netball","722","444","846","403","78","96",
"UK","East","M","14","R","172","28","105","3","Boat","120","1","35","Football/Soccer","1000","1000","1000","1000","0","0",
"OZ","South OZ","F","13","R","163","27","164","1","Bus","45","0.28","26","Other activities/sports","1000","616","1000","882","143","237",
"OZ","Victoria","F","14","R","164","21","152","2","Bus","47","0.28","25","Walking/Hiking","403","456","805","882","480","639",
"OZ","New South Wales","M","15","R","191","30","191","1","Bus","21","0.43","45","Golf","25","31","42","60","1000","1000",
"NZ","Auckland","M","11","B","144","19","168","1","Walk","15","0.485","0","Basketball","250","","1000","","","",
"CA","Alberta","M","10","R","135","21","130","2","Walk","4","0.544","73","Basketball","572","775","952","1000","535","439",
"CA","Ontario","F","10","R","159","24","158","1","Car","20","0.468","48","Baseball/Softball","615","610","481","316","11","11",
"USA","RI","F","9","R","145","23","145","1","Car","2","0","0","Dancing","1000","1000","1000","991","1000","1000",
"OZ","Victoria","M","12","R","156","26","163","1","Rail","60","0.34","44","Football/Soccer","610","308","557","362","498","959",
"OZ","New South Wales","F","12","R","166","24","103","1","Car","15","0.53","58","Running/Jogging","1000","1000","1000","1000","1000","1000",
"UK","North East","F","13","R","156","25","165","1","Walk","30","0.52","74","Swimming","1000","1000","1000","1000","1000","1000",
"OZ","Victoria","M","13","R","161","23","168","1","Car","4","0.39","35","Cricket","131","143","976","202","1000","1000",
